id,provider,title,sourceName,publishedAt,url,opportunityId
cmmwufoq501kwuruo1fsw7vza,GNEWS,"ETF inflows, positioning shifts signal improving crypto sentiment, Stan Low says",Seeking Alpha,Wed Mar 18 2026 21:56:18 GMT+0800 (中国标准时间),https://seekingalpha.com/news/4565849-etf-inflows-positioning-shifts-signal-improving-crypto-sentiment-stan-low-says,cmmwueqxk0001uruor1lgbrlq
cmmwufoqb01kzuruoqud4z318,GNEWS,Best Crypto to Invest In as Bitcoin Holds Firm and Pepeto Unveils Three Products,TechBullion,Wed Mar 18 2026 21:55:29 GMT+0800 (中国标准时间),https://techbullion.com/best-crypto-to-invest-in-as-bitcoin-holds-firm-and-pepeto-unveils-three-products/,cmmwueqxk0001uruor1lgbrlq
cmmwufoqi01l2uruocyrb1y1q,GNEWS,Best Crypto to Make You Rich: Pepeto Rises as Bitcoin Pushes Higher,TechBullion,Wed Mar 18 2026 21:52:19 GMT+0800 (中国标准时间),https://techbullion.com/best-crypto-to-make-you-rich-pepeto-rises-as-bitcoin-pushes-higher/,cmmwueqxk0001uruor1lgbrlq
cmmwug5y401leuruotr8zchqy,GNEWS,Ethereum Falls 5% As Bitcoin Loses Momentum,Benzinga,Wed Mar 18 2026 21:52:00 GMT+0800 (中国标准时间),https://www.benzinga.com/trading-ideas/movers/26/03/51334668/ethereum-falls-5-as-bitcoin-loses-momentum,cmmwueqxz004ruruon71uxym4
cmmwuh38u01meuruowzyjutf1,GNEWS,"Best Crypto Presale Verdict: Buy Pepeto, Hold Solana, Watch Cardano",TechBullion,Wed Mar 18 2026 21:48:37 GMT+0800 (中国标准时间),https://techbullion.com/best-crypto-presale-verdict-buy-pepeto-hold-solana-watch-cardano/,cmmwueqzv00sduruo758wazs7
cmmwug5yf01lhuruo23gch1it,GNEWS,"XRP Sees 160% Tilt in Bull Bias Among Hyperliquid's Biggest Whales, Ethereum Open Interest Hits 'High",U.Today,Wed Mar 18 2026 20:50:00 GMT+0800 (中国标准时间),https://u.today/xrp-sees-160-tilt-in-bull-bias-among-hyperliquids-biggest-whales-ethereum-open-interest-hits-high,cmmwueqyr00e7uruoexpvb83z
cmmwuhjv901mzuruoims2jzy4,GNEWS,Can Ripple (XRP) Reclaim $3? Experts Turn Attention to This New $0.04 Crypto Protocol,TechBullion,Wed Mar 18 2026 20:26:27 GMT+0800 (中国标准时间),https://techbullion.com/can-ripple-xrp-reclaim-3-experts-turn-attention-to-this-new-0-04-crypto-protocol/,cmmwueqyr00e7uruoexpvb83z
cmmwug5yp01lkuruoaowja8sr,GNEWS,"This $0.04 Emerging Crypto Hits 300% Growth, Why Analysts Eye Another 5x Move",TechBullion,Wed Mar 18 2026 20:26:23 GMT+0800 (中国标准时间),https://techbullion.com/this-0-04-emerging-crypto-hits-300-growth-why-analysts-eye-another-5x-move/,cmmwueqxz004ruruon71uxym4
cmmwuh39101mhuruoaz8t6evj,GNEWS,Missed Solana (SOL) 2024 Rally? Investors Are Watching This Crypto Under $1,TechBullion,Wed Mar 18 2026 20:26:17 GMT+0800 (中国标准时间),https://techbullion.com/missed-solana-sol-2024-rally-investors-are-watching-this-crypto-under-1/,cmmwueqzv00sduruo758wazs7
cmmwuhjvj01n2uruo8yt88yu9,GNEWS,"Next Crypto To Explode: Whales Rotate Into DeepSnitch AI As the $2.2M Presale Closes In on March 31 Launch, XRP and HYPE Nearing Breakouts",The Tribune,Wed Mar 18 2026 19:56:17 GMT+0800 (中国标准时间),https://www.tribuneindia.com/news/business/next-crypto-to-explode-whales-rotate-into-deepsnitch-ai-as-the-2-2m-presale-closes-in-on-march-31-launch-xrp-and-hype-nearing-breakouts/,cmmwueqyr00e7uruoexpvb83z
cmmwuf82i01keuruo87r2eku2,GNEWS,Next Crypto Explode: Is AlphaPepe the Target? Millions in Tether (USDT) Flow from Exchanges into Top Tier Presales,The Tribune,Wed Mar 18 2026 19:23:07 GMT+0800 (中国标准时间),https://www.tribuneindia.com/news/business/next-crypto-explode-is-alphapepe-the-target-millions-in-tether-usdt-flow-from-exchanges-into-top-tier-presales/,cmmwueqyc009huruo7oej0d0p
cmmwuh39901mkuruow6cp1yia,GNEWS,"Top 7 Crypto Exchanges for Trading in 2026 (Security, Fees & Liquidity Compared)",TechBullion,Wed Mar 18 2026 18:54:17 GMT+0800 (中国标准时间),https://techbullion.com/top-7-crypto-exchanges-for-trading-in-2026-security-fees-liquidity-compared/,cmmwueqzv00sduruo758wazs7
cmmwuf82p01khuruoyzkue8f8,GNEWS,How to Trade Crypto Futures with INR Margin,Firstpost,Wed Mar 18 2026 14:20:58 GMT+0800 (中国标准时间),https://www.firstpost.com/brands/how-to-trade-crypto-futures-with-inr-margin-13990677.html,cmmwueqyc009huruo7oej0d0p
cmmwufo2i01knuruovceryx7e,NEWSAPI,Illinois Results: Biss Leads Abughazaleh in Chicago as AIPAC Beats AI PAC Across Town,The Intercept,Wed Mar 18 2026 10:01:09 GMT+0800 (中国标准时间),https://theintercept.com/2026/03/17/illinois-house-senate-primary-results-biss-abughazaleh/,cmmwueqyr00e7uruoexpvb83z
cmmwufo2p01kquruot43qdm01,NEWSAPI,Crypto E-Commerce Platform Bitrefill’s Funds Drained In North Korean Cyberattack,Bitcoinist,Wed Mar 18 2026 10:00:45 GMT+0800 (中国标准时间),https://bitcoinist.com/bitrefills-funds-drained-north-korean-cyberattack/,cmmwueqyr00e7uruoexpvb83z
cmmwufo2v01kturuog5413y26,NEWSAPI,Illinois Republicans select Don Tracy in primary elections for Sen. Durbin's seat,Fox News,Wed Mar 18 2026 09:55:08 GMT+0800 (中国标准时间),https://www.foxnews.com/politics/illinois-republicans-select-don-tracy-primary-elections-sen-durbins-seat,cmmwueqyr00e7uruoexpvb83z
cmmwugmjc01lwuruo4m685zuk,GNEWS,New Crypto: Pepeto Exchange Presale Rides USDC Stablecoin Demand,TechBullion,Wed Mar 18 2026 09:22:25 GMT+0800 (中国标准时间),https://techbullion.com/new-crypto-pepeto-exchange-presale-rides-usdc-stablecoin-demand/,cmmwueqzj00nnuruoojlfvydt
cmmwugmjn01lzuruo8sc3alnh,GNEWS,Why this boring stablecoin is suddenly the hottest trade in crypto,CoinDesk,Tue Mar 17 2026 00:15:58 GMT+0800 (中国标准时间),https://www.coindesk.com/markets/2026/03/16/circle-is-up-100-in-a-month-why-this-boring-stablecoin-is-suddenly-the-hottest-trade-in-crypto,cmmwueqzj00nnuruoojlfvydt
cmmwugmjz01m2uruov81ymqht,GNEWS,"3 Trending Crypto Stocks to Watch: BMNR, CRCL and MSTR, What to Expect This Week",CoinGape,Mon Mar 16 2026 05:44:54 GMT+0800 (中国标准时间),https://coingape.com/news/stocks/3-trending-crypto-stocks-to-watch-bmnr-crcl-and-mstr-what-to-expect-this-week/,cmmwueqzj00nnuruoojlfvydt
cmmwuf82x01kkuruolsircl16,GNEWS,"SuisseGold.com Launches Tether Payments for Physical Gold and Silver, Expanding Crypto-to-Bullion Access",The Manila Times,Sat Mar 14 2026 03:36:23 GMT+0800 (中国标准时间),https://www.manilatimes.net/2026/03/14/tmt-newswire/globenewswire/suissegoldcom-launches-tether-payments-for-physical-gold-and-silver-expanding-crypto-to-bullion-access/2299881,cmmwueqyc009huruo7oej0d0p
